Random seed: "--seed={ 0xe1e60b91, 0x7e2fedf4, 0xc43dcfec, 0xa9496d39, 0xc226c56e, 0x3f13ae3c, 0x7b642335, 0xe6af4bcd, 0x0b13760c, 0x702c4fd7, 0xc4b13aba, 0x2af7421f }"
# variant=lvl1 response_length=156 max_candidates=1000000 max_responses=10000
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
332,>=18446744073709551615,1,35390,10000,3782,6218,0,37.82000000,0
333,>=18446744073709551615,1,35617,10000,3823,6177,0,38.23000000,0
334,>=18446744073709551615,1,36307,10000,3784,6216,0,37.84000000,0
335,>=18446744073709551615,1,35445,10000,3764,6236,0,37.64000000,0
336,>=18446744073709551615,1,38950,10000,3732,6268,0,37.32000000,0
337,>=18446744073709551615,1,36010,10000,3720,6280,0,37.20000000,0
338,>=18446744073709551615,1,35017,10000,3813,6187,0,38.13000000,0
339,>=18446744073709551615,1,37930,10000,3831,6169,0,38.31000000,0
340,>=18446744073709551615,1,37824,10000,3840,6160,0,38.40000000,0
341,>=18446744073709551615,1,38215,10000,3721,6279,0,37.21000000,0
342,>=18446744073709551615,1,33919,10000,3780,6220,0,37.80000000,0
343,>=18446744073709551615,1,35956,10000,3772,6228,0,37.72000000,0
344,>=18446744073709551615,1,36229,10000,3780,6220,0,37.80000000,0
345,>=18446744073709551615,1,40335,10000,3725,6275,0,37.25000000,0
346,>=18446744073709551615,1,36653,10000,3766,6234,0,37.66000000,0
347,>=18446744073709551615,1,38411,10000,3830,6170,0,38.30000000,0
348,>=18446744073709551615,1,34906,10000,3701,6299,0,37.01000000,0
349,>=18446744073709551615,1,39701,10000,3744,6256,0,37.44000000,0
350,>=18446744073709551615,1,39734,10000,3751,6249,0,37.51000000,0
351,>=18446744073709551615,1,35701,10000,3800,6200,0,38.00000000,0
352,>=18446744073709551615,1,37717,10000,3751,6249,0,37.51000000,0
